
[200] train_recon_loss:62.879, test_recon_loss:59.475
[400] train_recon_loss:41.878, test_recon_loss:39.967
[600] train_recon_loss:34.606, test_recon_loss:32.983
[800] train_recon_loss:28.380, test_recon_loss:28.724
[1000] train_recon_loss:28.726, test_recon_loss:26.891
[1200] train_recon_loss:26.005, test_recon_loss:27.183
[1400] train_recon_loss:25.479, test_recon_loss:25.066
[1600] train_recon_loss:23.229, test_recon_loss:23.137
[1800] train_recon_loss:23.326, test_recon_loss:23.009
[2000] train_recon_loss:22.275, test_recon_loss:23.549
[2200] train_recon_loss:21.566, test_recon_loss:21.790
[2400] train_recon_loss:20.881, test_recon_loss:21.236
[2600] train_recon_loss:20.603, test_recon_loss:20.723
[2800] train_recon_loss:20.496, test_recon_loss:20.713
[3000] train_recon_loss:20.184, test_recon_loss:21.202
[3200] train_recon_loss:20.028, test_recon_loss:20.944
[3400] train_recon_loss:19.620, test_recon_loss:20.302
[3600] train_recon_loss:19.105, test_recon_loss:19.367
[3800] train_recon_loss:19.177, test_recon_loss:19.229
[4000] train_recon_loss:18.863, test_recon_loss:19.132
[4200] train_recon_loss:19.385, test_recon_loss:19.329
[4400] train_recon_loss:18.417, test_recon_loss:19.234
[4600] train_recon_loss:18.045, test_recon_loss:18.386
[4800] train_recon_loss:18.466, test_recon_loss:18.037
[5000] train_recon_loss:18.343, test_recon_loss:18.630
[5200] train_recon_loss:19.407, test_recon_loss:18.968
[5400] train_recon_loss:17.635, test_recon_loss:18.212
[5600] train_recon_loss:17.631, test_recon_loss:17.913
[5800] train_recon_loss:18.135, test_recon_loss:17.640
[6000] train_recon_loss:17.618, test_recon_loss:17.715
[6200] train_recon_loss:17.950, test_recon_loss:18.016
[6400] train_recon_loss:17.772, test_recon_loss:18.540
[6600] train_recon_loss:17.172, test_recon_loss:17.457
[6800] train_recon_loss:17.603, test_recon_loss:17.099
[7000] train_recon_loss:16.385, test_recon_loss:16.840
[7200] train_recon_loss:16.928, test_recon_loss:17.291
[7400] train_recon_loss:16.946, test_recon_loss:17.377
[7600] train_recon_loss:16.635, test_recon_loss:17.072
[7800] train_recon_loss:16.793, test_recon_loss:16.725
[8000] train_recon_loss:15.974, test_recon_loss:16.439
[8200] train_recon_loss:16.175, test_recon_loss:16.695
[8400] train_recon_loss:16.518, test_recon_loss:17.012
[8600] train_recon_loss:16.520, test_recon_loss:17.133
[8800] train_recon_loss:16.446, test_recon_loss:16.771
[9000] train_recon_loss:15.524, test_recon_loss:16.108
[9200] train_recon_loss:15.964, test_recon_loss:16.348
[9400] train_recon_loss:15.851, test_recon_loss:16.661
[9600] train_recon_loss:15.912, test_recon_loss:16.618
[9800] train_recon_loss:16.059, test_recon_loss:16.179
[10000] train_recon_loss:15.140, test_recon_loss:15.716
[10200] train_recon_loss:15.874, test_recon_loss:16.032
[10400] train_recon_loss:15.147, test_recon_loss:15.870
[10600] train_recon_loss:15.369, test_recon_loss:16.082
[10800] train_recon_loss:15.947, test_recon_loss:15.661
[11000] train_recon_loss:14.961, test_recon_loss:15.446
[11200] train_recon_loss:15.492, test_recon_loss:15.571
[11400] train_recon_loss:14.708, test_recon_loss:15.521
[11600] train_recon_loss:15.172, test_recon_loss:15.767
[11800] train_recon_loss:15.983, test_recon_loss:15.195
[12000] train_recon_loss:15.296, test_recon_loss:15.490
[12200] train_recon_loss:15.347, test_recon_loss:15.058
[12400] train_recon_loss:14.527, test_recon_loss:15.144
[12600] train_recon_loss:15.280, test_recon_loss:15.167
[12800] train_recon_loss:15.312, test_recon_loss:14.864
[13000] train_recon_loss:15.078, test_recon_loss:15.189
[13200] train_recon_loss:15.133, test_recon_loss:14.951
[13400] train_recon_loss:14.411, test_recon_loss:14.901
[13600] train_recon_loss:15.211, test_recon_loss:14.820
[13800] train_recon_loss:15.257, test_recon_loss:14.989
[14000] train_recon_loss:14.649, test_recon_loss:15.055
[14200] train_recon_loss:14.772, test_recon_loss:14.935
[14400] train_recon_loss:14.253, test_recon_loss:14.676
[14600] train_recon_loss:14.584, test_recon_loss:14.622
[14800] train_recon_loss:14.829, test_recon_loss:14.831
[15000] train_recon_loss:14.082, test_recon_loss:14.753
[15200] train_recon_loss:14.800, test_recon_loss:14.570
[15400] train_recon_loss:13.974, test_recon_loss:14.571
[15600] train_recon_loss:14.245, test_recon_loss:14.484
[15800] train_recon_loss:14.392, test_recon_loss:14.586
[16000] train_recon_loss:13.850, test_recon_loss:14.465
[16200] train_recon_loss:14.303, test_recon_loss:14.268
[16400] train_recon_loss:13.678, test_recon_loss:14.351
[16600] train_recon_loss:14.002, test_recon_loss:14.431
[16800] train_recon_loss:14.031, test_recon_loss:14.270
[17000] train_recon_loss:13.683, test_recon_loss:14.186
[17200] train_recon_loss:13.975, test_recon_loss:14.176
[17400] train_recon_loss:13.452, test_recon_loss:14.163
[17600] train_recon_loss:13.734, test_recon_loss:14.382
[17800] train_recon_loss:13.762, test_recon_loss:14.040
[18000] train_recon_loss:13.574, test_recon_loss:13.830
[18200] train_recon_loss:13.739, test_recon_loss:14.143
[18400] train_recon_loss:13.302, test_recon_loss:13.874
[18600] train_recon_loss:13.731, test_recon_loss:14.222
[18800] train_recon_loss:13.560, test_recon_loss:13.781
[19000] train_recon_loss:13.429, test_recon_loss:13.616
[19200] train_recon_loss:13.504, test_recon_loss:13.835
[19400] train_recon_loss:13.268, test_recon_loss:13.625
[19600] train_recon_loss:13.735, test_recon_loss:13.758
[19800] train_recon_loss:13.365, test_recon_loss:13.657
[20000] train_recon_loss:13.288, test_recon_loss:13.454
[20200] train_recon_loss:13.272, test_recon_loss:13.585
[20400] train_recon_loss:13.227, test_recon_loss:13.589
[20600] train_recon_loss:13.415, test_recon_loss:13.551
[20800] train_recon_loss:13.120, test_recon_loss:13.511
[21000] train_recon_loss:13.171, test_recon_loss:13.427
[21200] train_recon_loss:13.143, test_recon_loss:13.375
[21400] train_recon_loss:12.995, test_recon_loss:13.335
[21600] train_recon_loss:13.002, test_recon_loss:13.256
[21800] train_recon_loss:13.017, test_recon_loss:13.240
[22000] train_recon_loss:12.949, test_recon_loss:13.392
[22200] train_recon_loss:12.948, test_recon_loss:13.225
[22400] train_recon_loss:12.766, test_recon_loss:13.101
[22600] train_recon_loss:12.818, test_recon_loss:13.102
[22800] train_recon_loss:12.983, test_recon_loss:13.131
[23000] train_recon_loss:12.844, test_recon_loss:13.208
[23200] train_recon_loss:12.883, test_recon_loss:13.124
[23400] train_recon_loss:12.720, test_recon_loss:12.950
[23600] train_recon_loss:12.774, test_recon_loss:12.991
[23800] train_recon_loss:12.946, test_recon_loss:13.062
[24000] train_recon_loss:12.739, test_recon_loss:13.038
[24200] train_recon_loss:12.865, test_recon_loss:13.009
[24400] train_recon_loss:12.576, test_recon_loss:12.836
[24600] train_recon_loss:12.711, test_recon_loss:12.923
[24800] train_recon_loss:12.862, test_recon_loss:12.906
[25000] train_recon_loss:12.626, test_recon_loss:12.901
[25200] train_recon_loss:12.777, test_recon_loss:12.938
[25400] train_recon_loss:12.434, test_recon_loss:12.818
[25600] train_recon_loss:12.626, test_recon_loss:12.888
[25800] train_recon_loss:12.803, test_recon_loss:12.737
[26000] train_recon_loss:12.584, test_recon_loss:12.811
[26200] train_recon_loss:12.672, test_recon_loss:12.868
[26400] train_recon_loss:12.307, test_recon_loss:12.732
[26600] train_recon_loss:12.437, test_recon_loss:12.794
[26800] train_recon_loss:12.789, test_recon_loss:12.631
[27000] train_recon_loss:12.399, test_recon_loss:12.784
[27200] train_recon_loss:12.559, test_recon_loss:12.760
[27400] train_recon_loss:12.241, test_recon_loss:12.613
[27600] train_recon_loss:12.296, test_recon_loss:12.655
[27800] train_recon_loss:12.664, test_recon_loss:12.557
[28000] train_recon_loss:12.211, test_recon_loss:12.728
[28200] train_recon_loss:12.533, test_recon_loss:12.723
[28400] train_recon_loss:12.157, test_recon_loss:12.519
[28600] train_recon_loss:12.167, test_recon_loss:12.617
[28800] train_recon_loss:12.533, test_recon_loss:12.505
[29000] train_recon_loss:12.119, test_recon_loss:12.583
[29200] train_recon_loss:12.534, test_recon_loss:12.703
[29400] train_recon_loss:12.092, test_recon_loss:12.505
[29600] train_recon_loss:12.098, test_recon_loss:12.432
