
[200] train_recon_loss:59.088, test_recon_loss:60.558
[400] train_recon_loss:43.250, test_recon_loss:42.627
[600] train_recon_loss:32.179, test_recon_loss:33.214
[800] train_recon_loss:30.029, test_recon_loss:29.426
[1000] train_recon_loss:27.788, test_recon_loss:27.140
[1200] train_recon_loss:26.620, test_recon_loss:26.646
[1400] train_recon_loss:24.326, test_recon_loss:24.771
[1600] train_recon_loss:23.219, test_recon_loss:23.283
[1800] train_recon_loss:22.903, test_recon_loss:22.798
[2000] train_recon_loss:23.064, test_recon_loss:22.662
[2200] train_recon_loss:22.235, test_recon_loss:22.154
[2400] train_recon_loss:23.080, test_recon_loss:22.825
[2600] train_recon_loss:21.304, test_recon_loss:21.461
[2800] train_recon_loss:21.501, test_recon_loss:20.724
[3000] train_recon_loss:20.794, test_recon_loss:20.952
[3200] train_recon_loss:20.439, test_recon_loss:20.839
[3400] train_recon_loss:19.915, test_recon_loss:20.872
[3600] train_recon_loss:19.662, test_recon_loss:19.900
[3800] train_recon_loss:19.660, test_recon_loss:20.035
[4000] train_recon_loss:19.369, test_recon_loss:19.288
[4200] train_recon_loss:20.157, test_recon_loss:19.467
[4400] train_recon_loss:19.213, test_recon_loss:19.297
[4600] train_recon_loss:18.871, test_recon_loss:19.523
[4800] train_recon_loss:18.539, test_recon_loss:18.818
[5000] train_recon_loss:18.361, test_recon_loss:18.566
[5200] train_recon_loss:18.815, test_recon_loss:18.778
[5400] train_recon_loss:18.077, test_recon_loss:19.159
[5600] train_recon_loss:18.194, test_recon_loss:18.656
[5800] train_recon_loss:18.354, test_recon_loss:17.816
[6000] train_recon_loss:17.771, test_recon_loss:17.786
[6200] train_recon_loss:17.958, test_recon_loss:18.210
[6400] train_recon_loss:17.532, test_recon_loss:17.969
[6600] train_recon_loss:17.616, test_recon_loss:17.909
[6800] train_recon_loss:17.395, test_recon_loss:17.405
[7000] train_recon_loss:17.333, test_recon_loss:17.160
[7200] train_recon_loss:17.625, test_recon_loss:17.364
[7400] train_recon_loss:17.165, test_recon_loss:17.237
[7600] train_recon_loss:17.656, test_recon_loss:17.269
[7800] train_recon_loss:16.985, test_recon_loss:16.940
[8000] train_recon_loss:16.812, test_recon_loss:16.798
[8200] train_recon_loss:16.666, test_recon_loss:16.682
[8400] train_recon_loss:16.852, test_recon_loss:16.945
[8600] train_recon_loss:16.835, test_recon_loss:16.639
[8800] train_recon_loss:16.706, test_recon_loss:16.723
[9000] train_recon_loss:16.789, test_recon_loss:16.500
[9200] train_recon_loss:16.435, test_recon_loss:16.561
[9400] train_recon_loss:16.162, test_recon_loss:16.436
[9600] train_recon_loss:17.002, test_recon_loss:16.444
[9800] train_recon_loss:16.501, test_recon_loss:16.279
[10000] train_recon_loss:16.389, test_recon_loss:16.167
[10200] train_recon_loss:16.029, test_recon_loss:16.253
[10400] train_recon_loss:15.613, test_recon_loss:16.306
[10600] train_recon_loss:16.183, test_recon_loss:16.088
[10800] train_recon_loss:17.026, test_recon_loss:16.866
[11000] train_recon_loss:16.050, test_recon_loss:15.950
[11200] train_recon_loss:15.767, test_recon_loss:15.827
[11400] train_recon_loss:15.193, test_recon_loss:15.845
[11600] train_recon_loss:15.621, test_recon_loss:15.718
[11800] train_recon_loss:16.115, test_recon_loss:16.652
[12000] train_recon_loss:15.710, test_recon_loss:15.753
[12200] train_recon_loss:15.699, test_recon_loss:15.798
[12400] train_recon_loss:14.963, test_recon_loss:15.837
[12600] train_recon_loss:15.513, test_recon_loss:15.524
[12800] train_recon_loss:15.492, test_recon_loss:15.885
[13000] train_recon_loss:15.334, test_recon_loss:15.591
[13200] train_recon_loss:15.754, test_recon_loss:15.562
[13400] train_recon_loss:14.893, test_recon_loss:15.514
[13600] train_recon_loss:15.471, test_recon_loss:15.144
[13800] train_recon_loss:14.932, test_recon_loss:15.126
[14000] train_recon_loss:14.990, test_recon_loss:15.350
[14200] train_recon_loss:15.538, test_recon_loss:15.229
[14400] train_recon_loss:14.593, test_recon_loss:15.090
[14600] train_recon_loss:15.260, test_recon_loss:15.011
[14800] train_recon_loss:14.668, test_recon_loss:14.810
[15000] train_recon_loss:14.668, test_recon_loss:15.086
[15200] train_recon_loss:14.945, test_recon_loss:14.966
[15400] train_recon_loss:14.435, test_recon_loss:14.800
[15600] train_recon_loss:14.874, test_recon_loss:15.195
[15800] train_recon_loss:14.584, test_recon_loss:14.688
[16000] train_recon_loss:14.531, test_recon_loss:14.834
[16200] train_recon_loss:14.557, test_recon_loss:14.808
[16400] train_recon_loss:14.147, test_recon_loss:14.611
[16600] train_recon_loss:14.587, test_recon_loss:15.019
[16800] train_recon_loss:14.331, test_recon_loss:14.544
[17000] train_recon_loss:14.413, test_recon_loss:14.555
[17200] train_recon_loss:14.293, test_recon_loss:14.674
[17400] train_recon_loss:13.930, test_recon_loss:14.478
[17600] train_recon_loss:14.470, test_recon_loss:14.755
[17800] train_recon_loss:14.056, test_recon_loss:14.332
[18000] train_recon_loss:14.274, test_recon_loss:14.394
[18200] train_recon_loss:14.031, test_recon_loss:14.518
[18400] train_recon_loss:13.873, test_recon_loss:14.286
[18600] train_recon_loss:14.260, test_recon_loss:14.522
[18800] train_recon_loss:13.933, test_recon_loss:14.177
[19000] train_recon_loss:14.031, test_recon_loss:14.260
[19200] train_recon_loss:13.985, test_recon_loss:14.339
[19400] train_recon_loss:13.885, test_recon_loss:14.355
[19600] train_recon_loss:14.060, test_recon_loss:14.281
[19800] train_recon_loss:13.844, test_recon_loss:14.124
[20000] train_recon_loss:13.886, test_recon_loss:14.265
[20200] train_recon_loss:13.807, test_recon_loss:14.132
[20400] train_recon_loss:13.772, test_recon_loss:14.364
[20600] train_recon_loss:13.804, test_recon_loss:14.058
[20800] train_recon_loss:13.943, test_recon_loss:14.034
[21000] train_recon_loss:13.882, test_recon_loss:14.069
[21200] train_recon_loss:13.613, test_recon_loss:13.952
[21400] train_recon_loss:13.491, test_recon_loss:14.031
[21600] train_recon_loss:13.646, test_recon_loss:13.922
[21800] train_recon_loss:13.896, test_recon_loss:13.898
[22000] train_recon_loss:13.749, test_recon_loss:13.940
[22200] train_recon_loss:13.469, test_recon_loss:13.790
[22400] train_recon_loss:13.237, test_recon_loss:13.774
[22600] train_recon_loss:13.549, test_recon_loss:13.930
[22800] train_recon_loss:13.578, test_recon_loss:13.710
[23000] train_recon_loss:13.557, test_recon_loss:13.847
[23200] train_recon_loss:13.331, test_recon_loss:13.624
[23400] train_recon_loss:13.149, test_recon_loss:13.707
[23600] train_recon_loss:13.419, test_recon_loss:13.882
[23800] train_recon_loss:13.435, test_recon_loss:13.600
[24000] train_recon_loss:13.406, test_recon_loss:13.728
[24200] train_recon_loss:13.229, test_recon_loss:13.515
[24400] train_recon_loss:13.064, test_recon_loss:13.626
[24600] train_recon_loss:13.244, test_recon_loss:13.826
[24800] train_recon_loss:13.386, test_recon_loss:13.493
[25000] train_recon_loss:13.318, test_recon_loss:13.609
[25200] train_recon_loss:13.108, test_recon_loss:13.440
[25400] train_recon_loss:12.956, test_recon_loss:13.547
[25600] train_recon_loss:13.117, test_recon_loss:13.638
[25800] train_recon_loss:13.443, test_recon_loss:13.453
[26000] train_recon_loss:13.187, test_recon_loss:13.564
[26200] train_recon_loss:13.013, test_recon_loss:13.380
[26400] train_recon_loss:12.835, test_recon_loss:13.454
[26600] train_recon_loss:13.078, test_recon_loss:13.457
[26800] train_recon_loss:13.332, test_recon_loss:13.420
[27000] train_recon_loss:13.105, test_recon_loss:13.491
[27200] train_recon_loss:12.911, test_recon_loss:13.330
[27400] train_recon_loss:12.788, test_recon_loss:13.347
[27600] train_recon_loss:12.979, test_recon_loss:13.370
[27800] train_recon_loss:13.162, test_recon_loss:13.327
[28000] train_recon_loss:13.038, test_recon_loss:13.394
[28200] train_recon_loss:12.835, test_recon_loss:13.221
[28400] train_recon_loss:12.668, test_recon_loss:13.225
[28600] train_recon_loss:12.831, test_recon_loss:13.246
[28800] train_recon_loss:13.093, test_recon_loss:13.258
[29000] train_recon_loss:12.942, test_recon_loss:13.296
[29200] train_recon_loss:12.811, test_recon_loss:13.143
[29400] train_recon_loss:12.602, test_recon_loss:13.110
[29600] train_recon_loss:12.729, test_recon_loss:13.120
[29800] train_recon_loss:12.990, test_recon_loss:13.191
[30000] train_recon_loss:12.908, test_recon_loss:13.201
[30200] train_recon_loss:12.704, test_recon_loss:13.080
[30400] train_recon_loss:12.519, test_recon_loss:13.054
[30600] train_recon_loss:12.658, test_recon_loss:13.001
[30800] train_recon_loss:12.881, test_recon_loss:13.067
[31000] train_recon_loss:12.896, test_recon_loss:13.103
[31200] train_recon_loss:12.597, test_recon_loss:12.959
[31400] train_recon_loss:12.435, test_recon_loss:12.964
[31600] train_recon_loss:12.553, test_recon_loss:12.903
[31800] train_recon_loss:12.817, test_recon_loss:12.969
[32000] train_recon_loss:12.856, test_recon_loss:13.001
[32200] train_recon_loss:12.527, test_recon_loss:12.854
[32400] train_recon_loss:12.384, test_recon_loss:12.896
[32600] train_recon_loss:12.461, test_recon_loss:12.811
[32800] train_recon_loss:12.740, test_recon_loss:12.890
[33000] train_recon_loss:12.818, test_recon_loss:12.943
[33200] train_recon_loss:12.538, test_recon_loss:12.792
[33400] train_recon_loss:12.333, test_recon_loss:12.788
[33600] train_recon_loss:12.400, test_recon_loss:12.744
[33800] train_recon_loss:12.666, test_recon_loss:12.820
[34000] train_recon_loss:12.723, test_recon_loss:12.839
[34200] train_recon_loss:12.548, test_recon_loss:12.779
[34400] train_recon_loss:12.267, test_recon_loss:12.706
[34600] train_recon_loss:12.301, test_recon_loss:12.681
[34800] train_recon_loss:12.580, test_recon_loss:12.772
[35000] train_recon_loss:12.642, test_recon_loss:12.766
[35200] train_recon_loss:12.476, test_recon_loss:12.810
[35400] train_recon_loss:12.223, test_recon_loss:12.636
[35600] train_recon_loss:12.254, test_recon_loss:12.615
[35800] train_recon_loss:12.485, test_recon_loss:12.700
[36000] train_recon_loss:12.535, test_recon_loss:12.747
[36200] train_recon_loss:12.343, test_recon_loss:12.786
[36400] train_recon_loss:12.195, test_recon_loss:12.579
[36600] train_recon_loss:12.188, test_recon_loss:12.577
[36800] train_recon_loss:12.421, test_recon_loss:12.631
[37000] train_recon_loss:12.395, test_recon_loss:12.701
[37200] train_recon_loss:12.226, test_recon_loss:12.702
[37400] train_recon_loss:12.162, test_recon_loss:12.531
[37600] train_recon_loss:12.121, test_recon_loss:12.537
[37800] train_recon_loss:12.361, test_recon_loss:12.601
[38000] train_recon_loss:12.267, test_recon_loss:12.573
[38200] train_recon_loss:12.130, test_recon_loss:12.563
[38400] train_recon_loss:12.136, test_recon_loss:12.501
[38600] train_recon_loss:12.069, test_recon_loss:12.446
[38800] train_recon_loss:12.293, test_recon_loss:12.521
[39000] train_recon_loss:12.190, test_recon_loss:12.478
[39200] train_recon_loss:12.102, test_recon_loss:12.460
[39400] train_recon_loss:12.132, test_recon_loss:12.503
[39600] train_recon_loss:12.034, test_recon_loss:12.403
[39800] train_recon_loss:12.288, test_recon_loss:12.446
[40000] train_recon_loss:12.119, test_recon_loss:12.413
[40200] train_recon_loss:12.092, test_recon_loss:12.394
[40400] train_recon_loss:12.092, test_recon_loss:12.504
[40600] train_recon_loss:11.990, test_recon_loss:12.365
[40800] train_recon_loss:12.262, test_recon_loss:12.402
[41000] train_recon_loss:12.042, test_recon_loss:12.366
[41200] train_recon_loss:12.064, test_recon_loss:12.341
[41400] train_recon_loss:11.995, test_recon_loss:12.474
[41600] train_recon_loss:11.946, test_recon_loss:12.316
[41800] train_recon_loss:12.182, test_recon_loss:12.359
[42000] train_recon_loss:11.980, test_recon_loss:12.334
[42200] train_recon_loss:12.059, test_recon_loss:12.297
[42400] train_recon_loss:11.920, test_recon_loss:12.425
[42600] train_recon_loss:11.911, test_recon_loss:12.283
[42800] train_recon_loss:12.083, test_recon_loss:12.296
[43000] train_recon_loss:11.944, test_recon_loss:12.299
[43200] train_recon_loss:12.061, test_recon_loss:12.255
[43400] train_recon_loss:11.868, test_recon_loss:12.374
[43600] train_recon_loss:11.871, test_recon_loss:12.263
[43800] train_recon_loss:12.004, test_recon_loss:12.245
[44000] train_recon_loss:11.924, test_recon_loss:12.260
[44200] train_recon_loss:12.025, test_recon_loss:12.223
[44400] train_recon_loss:11.818, test_recon_loss:12.316
[44600] train_recon_loss:11.827, test_recon_loss:12.244
[44800] train_recon_loss:11.956, test_recon_loss:12.206
[45000] train_recon_loss:11.917, test_recon_loss:12.225
[45200] train_recon_loss:11.987, test_recon_loss:12.187
[45400] train_recon_loss:11.772, test_recon_loss:12.264
[45600] train_recon_loss:11.773, test_recon_loss:12.215
[45800] train_recon_loss:11.925, test_recon_loss:12.175
[46000] train_recon_loss:11.896, test_recon_loss:12.196
[46200] train_recon_loss:11.936, test_recon_loss:12.157
[46400] train_recon_loss:11.725, test_recon_loss:12.209
[46600] train_recon_loss:11.729, test_recon_loss:12.183
[46800] train_recon_loss:11.887, test_recon_loss:12.150
[47000] train_recon_loss:11.875, test_recon_loss:12.174
[47200] train_recon_loss:11.902, test_recon_loss:12.129
[47400] train_recon_loss:11.673, test_recon_loss:12.158
[47600] train_recon_loss:11.691, test_recon_loss:12.144
[47800] train_recon_loss:11.853, test_recon_loss:12.120
[48000] train_recon_loss:11.819, test_recon_loss:12.147
[48200] train_recon_loss:11.866, test_recon_loss:12.101
[48400] train_recon_loss:11.639, test_recon_loss:12.116
[48600] train_recon_loss:11.650, test_recon_loss:12.113
[48800] train_recon_loss:11.804, test_recon_loss:12.090
[49000] train_recon_loss:11.761, test_recon_loss:12.120
[49200] train_recon_loss:11.838, test_recon_loss:12.075
[49400] train_recon_loss:11.618, test_recon_loss:12.088
[49600] train_recon_loss:11.614, test_recon_loss:12.081
[49800] train_recon_loss:11.767, test_recon_loss:12.064
[50000] train_recon_loss:11.714, test_recon_loss:12.094
python main_mod.py --train True --ckpt_name None --testing_method supervised_decoder     --encoder B --decoder BT --sbd False --encoder_target_type depth_black_white_xy_xy --n_filter 32 --n_rep 4     --optim_type SGD --batch_size 100 --lr 1e-2 --beta 0     --max_epoch 50 --gather_step 200 --display_step 50 --save_step 2500 
