
[200] train_recon_loss:60.612, test_recon_loss:59.758
[400] train_recon_loss:41.101, test_recon_loss:40.432
[600] train_recon_loss:34.297, test_recon_loss:33.802
[800] train_recon_loss:30.676, test_recon_loss:28.814
[1000] train_recon_loss:27.483, test_recon_loss:28.245
[1200] train_recon_loss:25.547, test_recon_loss:25.894
[1400] train_recon_loss:25.547, test_recon_loss:25.199
[1600] train_recon_loss:22.832, test_recon_loss:22.976
[1800] train_recon_loss:22.894, test_recon_loss:23.080
[2000] train_recon_loss:22.924, test_recon_loss:24.080
[2200] train_recon_loss:22.106, test_recon_loss:21.704
[2400] train_recon_loss:21.265, test_recon_loss:22.133
[2600] train_recon_loss:20.588, test_recon_loss:20.623
[2800] train_recon_loss:20.889, test_recon_loss:20.389
[3000] train_recon_loss:20.257, test_recon_loss:20.812
[3200] train_recon_loss:21.655, test_recon_loss:21.468
[3400] train_recon_loss:21.130, test_recon_loss:21.368
[3600] train_recon_loss:19.287, test_recon_loss:19.588
[3800] train_recon_loss:20.278, test_recon_loss:19.802
[4000] train_recon_loss:19.152, test_recon_loss:19.411
[4200] train_recon_loss:19.635, test_recon_loss:20.394
[4400] train_recon_loss:19.130, test_recon_loss:19.317
[4600] train_recon_loss:18.508, test_recon_loss:18.597
[4800] train_recon_loss:19.222, test_recon_loss:18.725
[5000] train_recon_loss:18.182, test_recon_loss:18.466
[5200] train_recon_loss:18.405, test_recon_loss:18.576
[5400] train_recon_loss:18.183, test_recon_loss:18.175
[5600] train_recon_loss:18.109, test_recon_loss:18.088
[5800] train_recon_loss:18.228, test_recon_loss:17.971
[6000] train_recon_loss:17.527, test_recon_loss:17.694
[6200] train_recon_loss:17.646, test_recon_loss:17.770
[6400] train_recon_loss:17.548, test_recon_loss:18.052
[6600] train_recon_loss:17.596, test_recon_loss:17.511
[6800] train_recon_loss:18.092, test_recon_loss:17.222
[7000] train_recon_loss:16.917, test_recon_loss:17.270
[7200] train_recon_loss:17.093, test_recon_loss:17.234
[7400] train_recon_loss:16.971, test_recon_loss:17.277
[7600] train_recon_loss:16.703, test_recon_loss:16.890
[7800] train_recon_loss:17.354, test_recon_loss:16.910
[8000] train_recon_loss:16.912, test_recon_loss:17.001
[8200] train_recon_loss:16.589, test_recon_loss:16.559
[8400] train_recon_loss:16.591, test_recon_loss:16.625
[8600] train_recon_loss:16.338, test_recon_loss:16.611
[8800] train_recon_loss:16.780, test_recon_loss:16.249
[9000] train_recon_loss:16.788, test_recon_loss:16.587
[9200] train_recon_loss:16.114, test_recon_loss:16.405
[9400] train_recon_loss:16.307, test_recon_loss:16.463
[9600] train_recon_loss:16.246, test_recon_loss:16.373
[9800] train_recon_loss:16.430, test_recon_loss:15.906
[10000] train_recon_loss:16.716, test_recon_loss:16.136
[10200] train_recon_loss:15.917, test_recon_loss:16.201
[10400] train_recon_loss:16.096, test_recon_loss:16.360
[10600] train_recon_loss:15.819, test_recon_loss:16.044
[10800] train_recon_loss:16.143, test_recon_loss:15.678
[11000] train_recon_loss:16.200, test_recon_loss:15.837
[11200] train_recon_loss:15.414, test_recon_loss:15.631
[11400] train_recon_loss:15.868, test_recon_loss:16.002
[11600] train_recon_loss:15.265, test_recon_loss:15.979
[11800] train_recon_loss:15.885, test_recon_loss:15.455
[12000] train_recon_loss:15.577, test_recon_loss:15.648
[12200] train_recon_loss:15.259, test_recon_loss:15.441
[12400] train_recon_loss:15.836, test_recon_loss:15.618
[12600] train_recon_loss:14.894, test_recon_loss:15.833
[12800] train_recon_loss:15.773, test_recon_loss:15.244
[13000] train_recon_loss:15.277, test_recon_loss:15.400
[13200] train_recon_loss:15.012, test_recon_loss:15.300
[13400] train_recon_loss:15.720, test_recon_loss:15.462
[13600] train_recon_loss:14.577, test_recon_loss:15.614
[13800] train_recon_loss:15.567, test_recon_loss:15.144
[14000] train_recon_loss:14.994, test_recon_loss:15.260
[14200] train_recon_loss:14.985, test_recon_loss:15.321
