
[500] train_recon_loss:25.019, test_recon_loss:25.309
[1000] train_recon_loss:21.855, test_recon_loss:21.656
[1500] train_recon_loss:20.598, test_recon_loss:20.567
[2000] train_recon_loss:19.650, test_recon_loss:19.575
[2500] train_recon_loss:18.658, test_recon_loss:19.073
[3000] train_recon_loss:18.659, test_recon_loss:18.460
[3500] train_recon_loss:18.159, test_recon_loss:18.415
[4000] train_recon_loss:17.909, test_recon_loss:17.697
[4500] train_recon_loss:17.492, test_recon_loss:17.754
[5000] train_recon_loss:17.222, test_recon_loss:17.161
[5500] train_recon_loss:16.862, test_recon_loss:17.281
[6000] train_recon_loss:16.771, test_recon_loss:16.688
[6500] train_recon_loss:16.344, test_recon_loss:16.748
[7000] train_recon_loss:16.468, test_recon_loss:16.372
[7500] train_recon_loss:16.292, test_recon_loss:16.289
[8000] train_recon_loss:16.250, test_recon_loss:16.165
[8500] train_recon_loss:15.983, test_recon_loss:15.929
[9000] train_recon_loss:15.904, test_recon_loss:15.823
[9500] train_recon_loss:15.733, test_recon_loss:15.583
[10000] train_recon_loss:15.983, test_recon_loss:15.586
[10500] train_recon_loss:15.539, test_recon_loss:15.418
[11000] train_recon_loss:15.519, test_recon_loss:15.330
[11500] train_recon_loss:15.181, test_recon_loss:15.237
[12000] train_recon_loss:15.356, test_recon_loss:15.151
[12500] train_recon_loss:14.816, test_recon_loss:15.067
[13000] train_recon_loss:15.052, test_recon_loss:14.841
[13500] train_recon_loss:14.485, test_recon_loss:14.898
[14000] train_recon_loss:14.761, test_recon_loss:14.648
[14500] train_recon_loss:14.347, test_recon_loss:14.643
[15000] train_recon_loss:14.520, test_recon_loss:14.484
[15500] train_recon_loss:14.211, test_recon_loss:14.474
[16000] train_recon_loss:14.313, test_recon_loss:14.270
[16500] train_recon_loss:14.017, test_recon_loss:14.383
[17000] train_recon_loss:14.186, test_recon_loss:14.088
[17500] train_recon_loss:13.809, test_recon_loss:14.243
[18000] train_recon_loss:13.965, test_recon_loss:13.903
[18500] train_recon_loss:13.678, test_recon_loss:14.017
[19000] train_recon_loss:13.841, test_recon_loss:13.731
[19500] train_recon_loss:13.491, test_recon_loss:13.790
[20000] train_recon_loss:13.749, test_recon_loss:13.597
[20500] train_recon_loss:13.371, test_recon_loss:13.675
[21000] train_recon_loss:13.544, test_recon_loss:13.445
[21500] train_recon_loss:13.222, test_recon_loss:13.571
[22000] train_recon_loss:13.516, test_recon_loss:13.355
[22500] train_recon_loss:13.084, test_recon_loss:13.455
[23000] train_recon_loss:13.360, test_recon_loss:13.268
[23500] train_recon_loss:12.918, test_recon_loss:13.329
[24000] train_recon_loss:13.235, test_recon_loss:13.197
[24500] train_recon_loss:12.820, test_recon_loss:13.240
[25000] train_recon_loss:13.090, test_recon_loss:13.121
[25500] train_recon_loss:12.680, test_recon_loss:13.115
[26000] train_recon_loss:13.034, test_recon_loss:13.033
[26500] train_recon_loss:12.573, test_recon_loss:13.019
[27000] train_recon_loss:12.915, test_recon_loss:12.958
[27500] train_recon_loss:12.509, test_recon_loss:12.928
[28000] train_recon_loss:12.824, test_recon_loss:12.862
[28500] train_recon_loss:12.430, test_recon_loss:12.875
[29000] train_recon_loss:12.744, test_recon_loss:12.771
[29500] train_recon_loss:12.334, test_recon_loss:12.795
[30000] train_recon_loss:12.648, test_recon_loss:12.694
[30500] train_recon_loss:12.252, test_recon_loss:12.758
[31000] train_recon_loss:12.586, test_recon_loss:12.635
[31500] train_recon_loss:12.177, test_recon_loss:12.678
[32000] train_recon_loss:12.491, test_recon_loss:12.576
[32500] train_recon_loss:12.107, test_recon_loss:12.610
[33000] train_recon_loss:12.451, test_recon_loss:12.534
[33500] train_recon_loss:12.042, test_recon_loss:12.537
[34000] train_recon_loss:12.377, test_recon_loss:12.488
[34500] train_recon_loss:11.965, test_recon_loss:12.463
[35000] train_recon_loss:12.338, test_recon_loss:12.429
[35500] train_recon_loss:11.905, test_recon_loss:12.399
[36000] train_recon_loss:12.273, test_recon_loss:12.389
[36500] train_recon_loss:11.865, test_recon_loss:12.340
[37000] train_recon_loss:12.221, test_recon_loss:12.334
[37500] train_recon_loss:11.795, test_recon_loss:12.256
[38000] train_recon_loss:12.172, test_recon_loss:12.283
[38500] train_recon_loss:11.782, test_recon_loss:12.230
[39000] train_recon_loss:12.137, test_recon_loss:12.247
[39500] train_recon_loss:11.733, test_recon_loss:12.185
[40000] train_recon_loss:12.088, test_recon_loss:12.202
[40500] train_recon_loss:11.697, test_recon_loss:12.143
[41000] train_recon_loss:12.026, test_recon_loss:12.162
[41500] train_recon_loss:11.671, test_recon_loss:12.106
[42000] train_recon_loss:11.966, test_recon_loss:12.117
[42500] train_recon_loss:11.629, test_recon_loss:12.069
[43000] train_recon_loss:11.892, test_recon_loss:12.079
[43500] train_recon_loss:11.594, test_recon_loss:12.033
[44000] train_recon_loss:11.818, test_recon_loss:12.031
[44500] train_recon_loss:11.558, test_recon_loss:12.004
[45000] train_recon_loss:11.753, test_recon_loss:11.988
[45500] train_recon_loss:11.513, test_recon_loss:11.974
[46000] train_recon_loss:11.707, test_recon_loss:11.946
[46500] train_recon_loss:11.472, test_recon_loss:11.951
[47000] train_recon_loss:11.675, test_recon_loss:11.913
[47500] train_recon_loss:11.435, test_recon_loss:11.921
[48000] train_recon_loss:11.637, test_recon_loss:11.882
[48500] train_recon_loss:11.406, test_recon_loss:11.885
[49000] train_recon_loss:11.618, test_recon_loss:11.869
[49500] train_recon_loss:11.379, test_recon_loss:11.853
[50000] train_recon_loss:11.572, test_recon_loss:11.847
[50500] train_recon_loss:11.340, test_recon_loss:11.819
[51000] train_recon_loss:11.535, test_recon_loss:11.824
[51500] train_recon_loss:11.313, test_recon_loss:11.786
[52000] train_recon_loss:11.494, test_recon_loss:11.800
[52500] train_recon_loss:11.286, test_recon_loss:11.758
[53000] train_recon_loss:11.459, test_recon_loss:11.774
[53500] train_recon_loss:11.262, test_recon_loss:11.732
[54000] train_recon_loss:11.422, test_recon_loss:11.751
[54500] train_recon_loss:11.244, test_recon_loss:11.711
[55000] train_recon_loss:11.390, test_recon_loss:11.728
[55500] train_recon_loss:11.216, test_recon_loss:11.690
[56000] train_recon_loss:11.363, test_recon_loss:11.709
[56500] train_recon_loss:11.194, test_recon_loss:11.671
[57000] train_recon_loss:11.336, test_recon_loss:11.690
[57500] train_recon_loss:11.166, test_recon_loss:11.652
[58000] train_recon_loss:11.317, test_recon_loss:11.672
[58500] train_recon_loss:11.145, test_recon_loss:11.636
[59000] train_recon_loss:11.298, test_recon_loss:11.654
[59500] train_recon_loss:11.124, test_recon_loss:11.621
[60000] train_recon_loss:11.276, test_recon_loss:11.635
