
[200] train_recon_loss:50.179, test_recon_loss:50.206
[400] train_recon_loss:36.097, test_recon_loss:36.554
[600] train_recon_loss:28.990, test_recon_loss:29.445
[800] train_recon_loss:28.459, test_recon_loss:26.994
[1000] train_recon_loss:25.441, test_recon_loss:25.775
[1200] train_recon_loss:25.037, test_recon_loss:25.689
[1400] train_recon_loss:25.815, test_recon_loss:24.221
[1600] train_recon_loss:22.138, test_recon_loss:22.815
[1800] train_recon_loss:22.368, test_recon_loss:21.876
[2000] train_recon_loss:22.255, test_recon_loss:22.103
[2200] train_recon_loss:22.093, test_recon_loss:21.832
[2400] train_recon_loss:21.244, test_recon_loss:21.329
[2600] train_recon_loss:19.943, test_recon_loss:20.608
[2800] train_recon_loss:20.227, test_recon_loss:20.277
[3000] train_recon_loss:19.910, test_recon_loss:20.265
[3200] train_recon_loss:19.916, test_recon_loss:20.017
[3400] train_recon_loss:19.953, test_recon_loss:20.570
[3600] train_recon_loss:19.862, test_recon_loss:19.664
[3800] train_recon_loss:18.870, test_recon_loss:19.260
[4000] train_recon_loss:19.087, test_recon_loss:19.181
[4200] train_recon_loss:19.626, test_recon_loss:19.509
[4400] train_recon_loss:18.948, test_recon_loss:19.395
[4600] train_recon_loss:19.609, test_recon_loss:19.206
[4800] train_recon_loss:18.381, test_recon_loss:18.549
[5000] train_recon_loss:18.128, test_recon_loss:18.573
[5200] train_recon_loss:18.216, test_recon_loss:19.078
[5400] train_recon_loss:17.978, test_recon_loss:18.162
[5600] train_recon_loss:18.588, test_recon_loss:18.891
[5800] train_recon_loss:18.191, test_recon_loss:17.927
[6000] train_recon_loss:17.940, test_recon_loss:17.975
[6200] train_recon_loss:17.345, test_recon_loss:18.226
[6400] train_recon_loss:17.338, test_recon_loss:17.432
[6600] train_recon_loss:17.417, test_recon_loss:18.787
[6800] train_recon_loss:17.403, test_recon_loss:17.035
[7000] train_recon_loss:17.469, test_recon_loss:17.273
[7200] train_recon_loss:16.813, test_recon_loss:17.391
[7400] train_recon_loss:17.148, test_recon_loss:17.342
[7600] train_recon_loss:16.743, test_recon_loss:17.851
[7800] train_recon_loss:16.756, test_recon_loss:16.627
[8000] train_recon_loss:16.885, test_recon_loss:17.240
[8200] train_recon_loss:16.311, test_recon_loss:16.881
[8400] train_recon_loss:16.251, test_recon_loss:16.538
[8600] train_recon_loss:16.313, test_recon_loss:16.896
[8800] train_recon_loss:16.345, test_recon_loss:16.362
[9000] train_recon_loss:16.606, test_recon_loss:16.541
[9200] train_recon_loss:16.676, test_recon_loss:16.780
[9400] train_recon_loss:16.083, test_recon_loss:16.488
[9600] train_recon_loss:15.968, test_recon_loss:16.458
[9800] train_recon_loss:16.035, test_recon_loss:16.188
[10000] train_recon_loss:16.173, test_recon_loss:15.859
[10200] train_recon_loss:15.847, test_recon_loss:16.779
[10400] train_recon_loss:15.807, test_recon_loss:16.066
[10600] train_recon_loss:15.529, test_recon_loss:15.976
[10800] train_recon_loss:15.994, test_recon_loss:16.229
[11000] train_recon_loss:15.653, test_recon_loss:15.504
[11200] train_recon_loss:15.637, test_recon_loss:15.895
[11400] train_recon_loss:15.414, test_recon_loss:15.982
[11600] train_recon_loss:15.111, test_recon_loss:15.613
[11800] train_recon_loss:15.619, test_recon_loss:15.906
[12000] train_recon_loss:15.491, test_recon_loss:15.531
[12200] train_recon_loss:15.195, test_recon_loss:15.358
[12400] train_recon_loss:15.350, test_recon_loss:15.710
[12600] train_recon_loss:15.067, test_recon_loss:15.934
[12800] train_recon_loss:15.124, test_recon_loss:15.506
[13000] train_recon_loss:15.366, test_recon_loss:15.369
[13200] train_recon_loss:15.001, test_recon_loss:15.178
[13400] train_recon_loss:14.980, test_recon_loss:15.742
[13600] train_recon_loss:14.861, test_recon_loss:15.746
[13800] train_recon_loss:14.895, test_recon_loss:15.035
[14000] train_recon_loss:15.013, test_recon_loss:15.204
[14200] train_recon_loss:15.043, test_recon_loss:14.954
[14400] train_recon_loss:14.752, test_recon_loss:15.575
[14600] train_recon_loss:14.549, test_recon_loss:15.287
[14800] train_recon_loss:14.760, test_recon_loss:14.700
[15000] train_recon_loss:14.700, test_recon_loss:15.158
[15200] train_recon_loss:15.087, test_recon_loss:14.745
[15400] train_recon_loss:14.533, test_recon_loss:14.809
[15600] train_recon_loss:14.388, test_recon_loss:14.902
[15800] train_recon_loss:14.599, test_recon_loss:14.472
[16000] train_recon_loss:14.471, test_recon_loss:15.007
[16200] train_recon_loss:14.720, test_recon_loss:14.767
[16400] train_recon_loss:14.400, test_recon_loss:14.615
[16600] train_recon_loss:14.343, test_recon_loss:14.593
[16800] train_recon_loss:14.414, test_recon_loss:14.277
[17000] train_recon_loss:14.422, test_recon_loss:14.756
[17200] train_recon_loss:14.273, test_recon_loss:14.655
[17400] train_recon_loss:14.273, test_recon_loss:14.616
[17600] train_recon_loss:14.161, test_recon_loss:14.400
[17800] train_recon_loss:14.191, test_recon_loss:14.151
[18000] train_recon_loss:14.364, test_recon_loss:14.252
[18200] train_recon_loss:14.055, test_recon_loss:14.464
[18400] train_recon_loss:14.153, test_recon_loss:14.637
[18600] train_recon_loss:13.875, test_recon_loss:14.242
[18800] train_recon_loss:13.895, test_recon_loss:14.124
[19000] train_recon_loss:14.101, test_recon_loss:14.097
[19200] train_recon_loss:13.853, test_recon_loss:14.276
[19400] train_recon_loss:14.025, test_recon_loss:14.483
[19600] train_recon_loss:13.645, test_recon_loss:14.160
[19800] train_recon_loss:13.742, test_recon_loss:14.014
[20000] train_recon_loss:13.756, test_recon_loss:13.968
[20200] train_recon_loss:13.670, test_recon_loss:14.025
[20400] train_recon_loss:13.725, test_recon_loss:14.473
[20600] train_recon_loss:13.517, test_recon_loss:14.022
[20800] train_recon_loss:13.659, test_recon_loss:13.816
[21000] train_recon_loss:13.615, test_recon_loss:13.731
[21200] train_recon_loss:13.555, test_recon_loss:13.897
[21400] train_recon_loss:13.513, test_recon_loss:14.168
[21600] train_recon_loss:13.370, test_recon_loss:13.813
[21800] train_recon_loss:13.483, test_recon_loss:13.660
[22000] train_recon_loss:13.669, test_recon_loss:13.559
[22200] train_recon_loss:13.451, test_recon_loss:13.781
[22400] train_recon_loss:13.519, test_recon_loss:13.771
[22600] train_recon_loss:13.321, test_recon_loss:13.570
[22800] train_recon_loss:13.318, test_recon_loss:13.550
[23000] train_recon_loss:13.675, test_recon_loss:13.475
[23200] train_recon_loss:13.523, test_recon_loss:13.538
[23400] train_recon_loss:13.382, test_recon_loss:13.543
[23600] train_recon_loss:13.177, test_recon_loss:13.393
[23800] train_recon_loss:13.210, test_recon_loss:13.475
[24000] train_recon_loss:13.591, test_recon_loss:13.479
[24200] train_recon_loss:13.507, test_recon_loss:13.511
[24400] train_recon_loss:13.222, test_recon_loss:13.408
[24600] train_recon_loss:13.039, test_recon_loss:13.310
