
[500] train_recon_loss:49.473, test_recon_loss:49.107
[1000] train_recon_loss:38.280, test_recon_loss:38.311
[1500] train_recon_loss:33.017, test_recon_loss:32.617
[2000] train_recon_loss:30.023, test_recon_loss:29.794
[2500] train_recon_loss:28.273, test_recon_loss:28.258
[3000] train_recon_loss:27.052, test_recon_loss:27.001
[3500] train_recon_loss:26.449, test_recon_loss:26.353
[4000] train_recon_loss:25.519, test_recon_loss:25.469
[4500] train_recon_loss:25.329, test_recon_loss:25.011
[5000] train_recon_loss:24.559, test_recon_loss:24.527
[5500] train_recon_loss:24.419, test_recon_loss:24.108
[6000] train_recon_loss:23.835, test_recon_loss:23.815
[6500] train_recon_loss:23.741, test_recon_loss:23.458
[7000] train_recon_loss:23.236, test_recon_loss:23.230
[7500] train_recon_loss:23.176, test_recon_loss:22.949
[8000] train_recon_loss:22.725, test_recon_loss:22.749
[8500] train_recon_loss:22.658, test_recon_loss:22.516
[9000] train_recon_loss:22.334, test_recon_loss:22.359
[9500] train_recon_loss:22.277, test_recon_loss:22.173
[10000] train_recon_loss:22.020, test_recon_loss:22.026
[10500] train_recon_loss:21.930, test_recon_loss:21.896
[11000] train_recon_loss:21.734, test_recon_loss:21.738
[11500] train_recon_loss:21.635, test_recon_loss:21.673
[12000] train_recon_loss:21.475, test_recon_loss:21.465
[12500] train_recon_loss:21.367, test_recon_loss:21.471
[13000] train_recon_loss:21.267, test_recon_loss:21.238
[13500] train_recon_loss:21.170, test_recon_loss:21.263
[14000] train_recon_loss:21.066, test_recon_loss:21.042
[14500] train_recon_loss:21.011, test_recon_loss:21.054
[15000] train_recon_loss:20.877, test_recon_loss:20.877
[15500] train_recon_loss:20.841, test_recon_loss:20.890
[16000] train_recon_loss:20.716, test_recon_loss:20.724
[16500] train_recon_loss:20.679, test_recon_loss:20.738
[17000] train_recon_loss:20.565, test_recon_loss:20.577
[17500] train_recon_loss:20.512, test_recon_loss:20.588
[18000] train_recon_loss:20.435, test_recon_loss:20.450
[18500] train_recon_loss:20.340, test_recon_loss:20.431
[19000] train_recon_loss:20.310, test_recon_loss:20.343
[19500] train_recon_loss:20.215, test_recon_loss:20.299
[20000] train_recon_loss:20.193, test_recon_loss:20.239
[20500] train_recon_loss:20.097, test_recon_loss:20.185
[21000] train_recon_loss:20.087, test_recon_loss:20.154
[21500] train_recon_loss:19.992, test_recon_loss:20.084
[22000] train_recon_loss:19.980, test_recon_loss:20.067
[22500] train_recon_loss:19.891, test_recon_loss:19.995
[23000] train_recon_loss:19.891, test_recon_loss:19.981
[23500] train_recon_loss:19.801, test_recon_loss:19.916
[24000] train_recon_loss:19.829, test_recon_loss:19.887
[24500] train_recon_loss:19.710, test_recon_loss:19.833
[25000] train_recon_loss:19.786, test_recon_loss:19.812
[25500] train_recon_loss:19.634, test_recon_loss:19.761
[26000] train_recon_loss:19.712, test_recon_loss:19.759
[26500] train_recon_loss:19.563, test_recon_loss:19.691
[27000] train_recon_loss:19.635, test_recon_loss:19.707
[27500] train_recon_loss:19.503, test_recon_loss:19.632
[28000] train_recon_loss:19.550, test_recon_loss:19.637
[28500] train_recon_loss:19.448, test_recon_loss:19.573
[29000] train_recon_loss:19.482, test_recon_loss:19.554
[29500] train_recon_loss:19.393, test_recon_loss:19.516
[30000] train_recon_loss:19.435, test_recon_loss:19.480
[30500] train_recon_loss:19.338, test_recon_loss:19.465
[31000] train_recon_loss:19.393, test_recon_loss:19.416
[31500] train_recon_loss:19.279, test_recon_loss:19.415
[32000] train_recon_loss:19.356, test_recon_loss:19.363
[32500] train_recon_loss:19.226, test_recon_loss:19.371
[33000] train_recon_loss:19.321, test_recon_loss:19.319
[33500] train_recon_loss:19.176, test_recon_loss:19.329
[34000] train_recon_loss:19.280, test_recon_loss:19.282
[34500] train_recon_loss:19.131, test_recon_loss:19.285
[35000] train_recon_loss:19.231, test_recon_loss:19.243
[35500] train_recon_loss:19.093, test_recon_loss:19.241
[36000] train_recon_loss:19.177, test_recon_loss:19.204
[36500] train_recon_loss:19.051, test_recon_loss:19.202
[37000] train_recon_loss:19.128, test_recon_loss:19.162
[37500] train_recon_loss:19.021, test_recon_loss:19.168
[38000] train_recon_loss:19.085, test_recon_loss:19.123
[38500] train_recon_loss:18.986, test_recon_loss:19.135
[39000] train_recon_loss:19.049, test_recon_loss:19.087
[39500] train_recon_loss:18.949, test_recon_loss:19.106
[40000] train_recon_loss:19.016, test_recon_loss:19.059
[40500] train_recon_loss:18.917, test_recon_loss:19.078
[41000] train_recon_loss:18.987, test_recon_loss:19.034
[41500] train_recon_loss:18.885, test_recon_loss:19.052
[42000] train_recon_loss:18.958, test_recon_loss:19.012
[42500] train_recon_loss:18.853, test_recon_loss:19.028
[43000] train_recon_loss:18.933, test_recon_loss:18.989
[43500] train_recon_loss:18.820, test_recon_loss:19.003
[44000] train_recon_loss:18.909, test_recon_loss:18.966
[44500] train_recon_loss:18.791, test_recon_loss:18.979
[45000] train_recon_loss:18.887, test_recon_loss:18.945
[45500] train_recon_loss:18.763, test_recon_loss:18.957
[46000] train_recon_loss:18.867, test_recon_loss:18.924
[46500] train_recon_loss:18.738, test_recon_loss:18.933
