
[500] train_recon_loss:38.776, test_recon_loss:36.878
[1000] train_recon_loss:27.188, test_recon_loss:27.206
[1500] train_recon_loss:24.653, test_recon_loss:24.606
[2000] train_recon_loss:22.497, test_recon_loss:23.339
[2500] train_recon_loss:21.654, test_recon_loss:22.127
[3000] train_recon_loss:20.644, test_recon_loss:21.252
[3500] train_recon_loss:20.489, test_recon_loss:21.414
[4000] train_recon_loss:19.636, test_recon_loss:20.032
[4500] train_recon_loss:19.041, test_recon_loss:19.973
[5000] train_recon_loss:18.767, test_recon_loss:18.803
[5500] train_recon_loss:18.786, test_recon_loss:19.178
[6000] train_recon_loss:18.714, test_recon_loss:18.589
[6500] train_recon_loss:19.091, test_recon_loss:18.547
[7000] train_recon_loss:18.256, test_recon_loss:18.235
[7500] train_recon_loss:18.586, test_recon_loss:18.035
[8000] train_recon_loss:17.270, test_recon_loss:17.898
[8500] train_recon_loss:17.642, test_recon_loss:18.110
[9000] train_recon_loss:17.164, test_recon_loss:17.374
[9500] train_recon_loss:16.718, test_recon_loss:17.593
[10000] train_recon_loss:16.851, test_recon_loss:16.652
[10500] train_recon_loss:15.951, test_recon_loss:16.577
[11000] train_recon_loss:16.745, test_recon_loss:16.228
[11500] train_recon_loss:15.477, test_recon_loss:16.248
[12000] train_recon_loss:15.917, test_recon_loss:15.837
[12500] train_recon_loss:15.046, test_recon_loss:15.753
[13000] train_recon_loss:15.524, test_recon_loss:15.673
[13500] train_recon_loss:14.906, test_recon_loss:15.625
[14000] train_recon_loss:15.188, test_recon_loss:15.381
[14500] train_recon_loss:14.746, test_recon_loss:15.177
[15000] train_recon_loss:14.878, test_recon_loss:15.066
[15500] train_recon_loss:14.739, test_recon_loss:14.945
[16000] train_recon_loss:14.941, test_recon_loss:14.854
[16500] train_recon_loss:14.421, test_recon_loss:14.738
[17000] train_recon_loss:14.946, test_recon_loss:14.730
[17500] train_recon_loss:14.208, test_recon_loss:14.576
[18000] train_recon_loss:14.604, test_recon_loss:14.678
[18500] train_recon_loss:14.069, test_recon_loss:14.467
[19000] train_recon_loss:14.255, test_recon_loss:14.482
[19500] train_recon_loss:13.967, test_recon_loss:14.359
[20000] train_recon_loss:13.953, test_recon_loss:14.216
[20500] train_recon_loss:13.964, test_recon_loss:14.310
[21000] train_recon_loss:13.875, test_recon_loss:14.081
[21500] train_recon_loss:13.968, test_recon_loss:14.033
[22000] train_recon_loss:13.688, test_recon_loss:13.976
[22500] train_recon_loss:13.840, test_recon_loss:13.889
[23000] train_recon_loss:13.509, test_recon_loss:13.940
[23500] train_recon_loss:13.509, test_recon_loss:13.797
[24000] train_recon_loss:13.405, test_recon_loss:13.811
[24500] train_recon_loss:13.271, test_recon_loss:13.686
[25000] train_recon_loss:13.334, test_recon_loss:13.592
[25500] train_recon_loss:13.140, test_recon_loss:13.542
[26000] train_recon_loss:13.237, test_recon_loss:13.461
[26500] train_recon_loss:13.081, test_recon_loss:13.456
[27000] train_recon_loss:13.096, test_recon_loss:13.348
[27500] train_recon_loss:13.027, test_recon_loss:13.392
[28000] train_recon_loss:12.971, test_recon_loss:13.243
[28500] train_recon_loss:12.892, test_recon_loss:13.312
[29000] train_recon_loss:12.867, test_recon_loss:13.171
[29500] train_recon_loss:12.809, test_recon_loss:13.287
[30000] train_recon_loss:12.791, test_recon_loss:13.079
[30500] train_recon_loss:12.675, test_recon_loss:13.211
[31000] train_recon_loss:12.727, test_recon_loss:12.983
[31500] train_recon_loss:12.563, test_recon_loss:13.065
[32000] train_recon_loss:12.689, test_recon_loss:12.877
[32500] train_recon_loss:12.506, test_recon_loss:12.953
[33000] train_recon_loss:12.653, test_recon_loss:12.792
[33500] train_recon_loss:12.501, test_recon_loss:12.919
[34000] train_recon_loss:12.641, test_recon_loss:12.739
[34500] train_recon_loss:12.539, test_recon_loss:12.825
[35000] train_recon_loss:12.620, test_recon_loss:12.704
[35500] train_recon_loss:12.487, test_recon_loss:12.716
[36000] train_recon_loss:12.532, test_recon_loss:12.675
[36500] train_recon_loss:12.368, test_recon_loss:12.665
