
[200] train_recon_loss:60.031, test_recon_loss:61.766
[400] train_recon_loss:43.735, test_recon_loss:42.634
[600] train_recon_loss:34.088, test_recon_loss:33.077
[800] train_recon_loss:30.704, test_recon_loss:30.738
[1000] train_recon_loss:28.034, test_recon_loss:28.356
[1200] train_recon_loss:26.326, test_recon_loss:26.236
[1400] train_recon_loss:24.651, test_recon_loss:25.427
[1600] train_recon_loss:23.601, test_recon_loss:23.901
[1800] train_recon_loss:23.289, test_recon_loss:24.201
[2000] train_recon_loss:22.548, test_recon_loss:23.079
[2200] train_recon_loss:22.845, test_recon_loss:23.084
[2400] train_recon_loss:22.319, test_recon_loss:22.152
[2600] train_recon_loss:21.724, test_recon_loss:21.768
[2800] train_recon_loss:21.775, test_recon_loss:21.191
[3000] train_recon_loss:20.942, test_recon_loss:20.864
[3200] train_recon_loss:20.605, test_recon_loss:21.392
[3400] train_recon_loss:20.408, test_recon_loss:20.505
[3600] train_recon_loss:19.901, test_recon_loss:20.283
[3800] train_recon_loss:20.664, test_recon_loss:20.094
[4000] train_recon_loss:19.603, test_recon_loss:19.805
[4200] train_recon_loss:20.185, test_recon_loss:19.544
[4400] train_recon_loss:19.252, test_recon_loss:19.392
[4600] train_recon_loss:18.742, test_recon_loss:19.206
[4800] train_recon_loss:20.394, test_recon_loss:19.192
[5000] train_recon_loss:18.582, test_recon_loss:18.838
[5200] train_recon_loss:18.461, test_recon_loss:18.762
[5400] train_recon_loss:18.917, test_recon_loss:18.963
[5600] train_recon_loss:18.589, test_recon_loss:18.565
[5800] train_recon_loss:19.029, test_recon_loss:18.360
[6000] train_recon_loss:18.220, test_recon_loss:18.527
[6200] train_recon_loss:18.875, test_recon_loss:18.165
[6400] train_recon_loss:17.802, test_recon_loss:18.615
[6600] train_recon_loss:18.227, test_recon_loss:17.679
[6800] train_recon_loss:17.829, test_recon_loss:17.391
[7000] train_recon_loss:17.201, test_recon_loss:17.766
[7200] train_recon_loss:17.865, test_recon_loss:17.493
[7400] train_recon_loss:17.040, test_recon_loss:17.836
[7600] train_recon_loss:17.586, test_recon_loss:17.205
[7800] train_recon_loss:17.016, test_recon_loss:17.049
[8000] train_recon_loss:16.887, test_recon_loss:16.915
[8200] train_recon_loss:17.025, test_recon_loss:17.253
[8400] train_recon_loss:16.654, test_recon_loss:17.214
[8600] train_recon_loss:16.967, test_recon_loss:16.757
[8800] train_recon_loss:16.846, test_recon_loss:16.566
[9000] train_recon_loss:16.543, test_recon_loss:16.557
[9200] train_recon_loss:16.466, test_recon_loss:16.551
[9400] train_recon_loss:16.291, test_recon_loss:16.396
[9600] train_recon_loss:16.737, test_recon_loss:16.352
[9800] train_recon_loss:16.578, test_recon_loss:16.155
[10000] train_recon_loss:15.983, test_recon_loss:16.098
[10200] train_recon_loss:15.888, test_recon_loss:16.213
[10400] train_recon_loss:16.074, test_recon_loss:16.021
[10600] train_recon_loss:16.177, test_recon_loss:16.138
[10800] train_recon_loss:16.127, test_recon_loss:15.987
[11000] train_recon_loss:15.561, test_recon_loss:15.672
[11200] train_recon_loss:16.239, test_recon_loss:15.965
[11400] train_recon_loss:15.643, test_recon_loss:15.812
[11600] train_recon_loss:15.635, test_recon_loss:15.988
[11800] train_recon_loss:15.903, test_recon_loss:15.669
[12000] train_recon_loss:15.110, test_recon_loss:15.494
[12200] train_recon_loss:15.755, test_recon_loss:15.682
[12400] train_recon_loss:15.364, test_recon_loss:15.758
[12600] train_recon_loss:15.195, test_recon_loss:15.681
[12800] train_recon_loss:15.703, test_recon_loss:15.323
[13000] train_recon_loss:14.683, test_recon_loss:15.289
[13200] train_recon_loss:15.118, test_recon_loss:15.337
[13400] train_recon_loss:15.089, test_recon_loss:15.640
[13600] train_recon_loss:14.851, test_recon_loss:15.246
[13800] train_recon_loss:15.292, test_recon_loss:15.051
[14000] train_recon_loss:14.496, test_recon_loss:15.268
[14200] train_recon_loss:15.222, test_recon_loss:15.165
[14400] train_recon_loss:14.916, test_recon_loss:15.559
[14600] train_recon_loss:14.720, test_recon_loss:15.163
[14800] train_recon_loss:14.972, test_recon_loss:14.755
[15000] train_recon_loss:14.655, test_recon_loss:15.023
[15200] train_recon_loss:14.971, test_recon_loss:15.000
[15400] train_recon_loss:14.442, test_recon_loss:14.982
[15600] train_recon_loss:14.596, test_recon_loss:15.252
[15800] train_recon_loss:14.861, test_recon_loss:14.654
[16000] train_recon_loss:14.305, test_recon_loss:14.656
[16200] train_recon_loss:14.464, test_recon_loss:15.037
[16400] train_recon_loss:14.215, test_recon_loss:14.557
[16600] train_recon_loss:14.420, test_recon_loss:15.347
[16800] train_recon_loss:14.945, test_recon_loss:14.622
[17000] train_recon_loss:14.020, test_recon_loss:14.525
[17200] train_recon_loss:14.138, test_recon_loss:14.678
[17400] train_recon_loss:14.008, test_recon_loss:14.477
[17600] train_recon_loss:14.686, test_recon_loss:15.003
[17800] train_recon_loss:14.683, test_recon_loss:14.435
[18000] train_recon_loss:13.858, test_recon_loss:14.375
[18200] train_recon_loss:13.940, test_recon_loss:14.341
[18400] train_recon_loss:13.901, test_recon_loss:14.303
[18600] train_recon_loss:14.193, test_recon_loss:14.582
[18800] train_recon_loss:14.269, test_recon_loss:14.264
[19000] train_recon_loss:13.619, test_recon_loss:14.259
[19200] train_recon_loss:13.914, test_recon_loss:14.188
[19400] train_recon_loss:13.791, test_recon_loss:14.238
[19600] train_recon_loss:14.017, test_recon_loss:14.255
[19800] train_recon_loss:13.878, test_recon_loss:14.120
[20000] train_recon_loss:13.490, test_recon_loss:14.038
[20200] train_recon_loss:13.641, test_recon_loss:14.030
[20400] train_recon_loss:13.678, test_recon_loss:14.276
[20600] train_recon_loss:13.613, test_recon_loss:13.966
[20800] train_recon_loss:13.706, test_recon_loss:13.951
[21000] train_recon_loss:13.400, test_recon_loss:13.901
[21200] train_recon_loss:13.306, test_recon_loss:13.873
[21400] train_recon_loss:13.586, test_recon_loss:14.258
[21600] train_recon_loss:13.351, test_recon_loss:13.740
[21800] train_recon_loss:13.550, test_recon_loss:13.686
[22000] train_recon_loss:13.315, test_recon_loss:13.769
[22200] train_recon_loss:13.123, test_recon_loss:13.655
[22400] train_recon_loss:13.556, test_recon_loss:14.049
[22600] train_recon_loss:13.142, test_recon_loss:13.621
[22800] train_recon_loss:13.488, test_recon_loss:13.569
[23000] train_recon_loss:13.414, test_recon_loss:13.643
[23200] train_recon_loss:13.002, test_recon_loss:13.505
[23400] train_recon_loss:13.532, test_recon_loss:13.837
[23600] train_recon_loss:13.060, test_recon_loss:13.547
[23800] train_recon_loss:13.373, test_recon_loss:13.474
[24000] train_recon_loss:13.426, test_recon_loss:13.508
[24200] train_recon_loss:12.927, test_recon_loss:13.418
[24400] train_recon_loss:13.411, test_recon_loss:13.624
[24600] train_recon_loss:12.917, test_recon_loss:13.482
[24800] train_recon_loss:13.229, test_recon_loss:13.394
[25000] train_recon_loss:13.164, test_recon_loss:13.374
[25200] train_recon_loss:12.811, test_recon_loss:13.327
[25400] train_recon_loss:13.209, test_recon_loss:13.497
[25600] train_recon_loss:12.799, test_recon_loss:13.367
[25800] train_recon_loss:13.172, test_recon_loss:13.291
