
[200] train_recon_loss:54.601, test_recon_loss:55.613
[400] train_recon_loss:40.717, test_recon_loss:39.777
[500] train_recon_loss:34.985, test_recon_loss:34.005
[1000] train_recon_loss:26.762, test_recon_loss:26.278
[1500] train_recon_loss:24.757, test_recon_loss:25.663
[2000] train_recon_loss:22.678, test_recon_loss:22.017
[2500] train_recon_loss:21.758, test_recon_loss:21.965
[3000] train_recon_loss:20.235, test_recon_loss:20.349
[3500] train_recon_loss:20.028, test_recon_loss:20.720
[4000] train_recon_loss:19.183, test_recon_loss:19.321
[4500] train_recon_loss:18.584, test_recon_loss:19.478
[5000] train_recon_loss:18.351, test_recon_loss:18.271
[5500] train_recon_loss:17.962, test_recon_loss:18.382
[6000] train_recon_loss:17.653, test_recon_loss:17.976
[6500] train_recon_loss:17.415, test_recon_loss:18.884
[7000] train_recon_loss:17.441, test_recon_loss:17.435
[7500] train_recon_loss:18.146, test_recon_loss:17.669
[8000] train_recon_loss:16.803, test_recon_loss:16.686
[8500] train_recon_loss:17.034, test_recon_loss:18.471
[9000] train_recon_loss:16.172, test_recon_loss:16.449
[9500] train_recon_loss:16.275, test_recon_loss:17.294
[10000] train_recon_loss:15.822, test_recon_loss:16.137
[10500] train_recon_loss:15.487, test_recon_loss:16.269
[11000] train_recon_loss:16.090, test_recon_loss:15.849
[11500] train_recon_loss:14.842, test_recon_loss:15.500
[12000] train_recon_loss:15.772, test_recon_loss:15.538
[12500] train_recon_loss:14.802, test_recon_loss:15.340
[13000] train_recon_loss:15.286, test_recon_loss:15.363
[13500] train_recon_loss:14.552, test_recon_loss:15.189
[14000] train_recon_loss:14.971, test_recon_loss:15.367
[14500] train_recon_loss:14.212, test_recon_loss:14.943
[15000] train_recon_loss:14.579, test_recon_loss:15.242
[15500] train_recon_loss:14.084, test_recon_loss:14.801
[16000] train_recon_loss:14.310, test_recon_loss:14.933
[16500] train_recon_loss:13.956, test_recon_loss:14.593
[17000] train_recon_loss:14.078, test_recon_loss:14.528
[17500] train_recon_loss:13.945, test_recon_loss:14.371
[18000] train_recon_loss:13.985, test_recon_loss:14.216
[18500] train_recon_loss:13.921, test_recon_loss:14.229
[19000] train_recon_loss:13.993, test_recon_loss:14.038
[19500] train_recon_loss:13.667, test_recon_loss:14.096
[20000] train_recon_loss:13.770, test_recon_loss:13.784
[20500] train_recon_loss:13.468, test_recon_loss:13.860
[21000] train_recon_loss:13.699, test_recon_loss:13.694
[21500] train_recon_loss:13.233, test_recon_loss:13.721
[22000] train_recon_loss:13.639, test_recon_loss:13.541
[22500] train_recon_loss:13.140, test_recon_loss:13.618
[23000] train_recon_loss:13.629, test_recon_loss:13.511
[23500] train_recon_loss:13.192, test_recon_loss:13.425
[24000] train_recon_loss:13.485, test_recon_loss:13.491
[24500] train_recon_loss:13.076, test_recon_loss:13.268
[25000] train_recon_loss:13.149, test_recon_loss:13.365
[25500] train_recon_loss:12.834, test_recon_loss:13.181
[26000] train_recon_loss:12.994, test_recon_loss:13.261
